ID,title,descr,bridgeId,bridgeName,assetClass,route,routeNumber,state,region,lga,latitude,longitude,location,assetOwner,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,scourDepthLastMeasured,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,scourRisk,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,restriction_ID,geoJson,stock,price,currency_code
,,,UAT-NSW-B01,Parramatta River Road Bridge,Strategic,Great Western Highway,A32,NSW,Sydney Metro,Parramatta,-33.8136,150.9919,Parramatta River crossing at Church St,TfNSW,TfNSW,Concrete T-beam,1965,T44,AS 5100,5.2,18.0,Concrete,3,54.0,9.5,2,Good,7,7,Open,AS 5100-7,,DWG-PAR-001,0.8,100,false,true,Strategic freight corridor,Active,Low,2025-08-15,true,2024-03-01,42.5,HML,2,28000,14.5,,,,true,true,true,TfNSW Asset Register,,,,,,,,
,,,UAT-NSW-B02,Hunter River Rail Bridge,Primary,Main North Line,,NSW,Hunter,Maitland,-32.7356,151.5500,Hunter River crossing at Maitland,ARTC,ARTC,Steel through-truss,1894,300 kN/m,AS 1170,7.8,91.4,Steel,5,457.0,6.0,1,Satisfactory,5,5,Restricted,AS 5100-7,Zone 1,DWG-HRB-001,2.1,50,true,true,Heritage listed structure — AS 5100 exemptions apply,Active,High,2025-06-20,false,,,ARTC Asset Register,,,,,,,,
,,,UAT-NSW-B03,M4 Western Motorway Overpass,Strategic,M4 Western Motorway,M4,NSW,Sydney Metro,Parramatta,-33.8234,150.9445,M4 over James Ruse Drive,TfNSW,TfNSW,Prestressed concrete box girder,1992,SM1600,AS 5100,5.5,32.0,Concrete,1,32.0,14.8,4,Good,8,8,Open,AS 5100-7,Zone 1,DWG-M4-001,0.2,100,false,false,Key motorway interchange,Active,Low,2026-01-10,true,2024-06-15,45.0,HML,1,65000,12.0,,,,true,true,true,TfNSW Asset Register,,,,,,,,
,,,UAT-VIC-B01,Princes Bridge,Strategic,Princes Highway,,VIC,Melbourne Metro,Melbourne,-37.8182,144.9677,Yarra River crossing at Swanston St,VicRoads,VicRoads,Masonry arch,1888,T44,AS 5100,5.0,40.8,Masonry,3,122.4,17.7,4,Satisfactory,6,5,Restricted,AS 5100-7,Zone 1,DWG-PB-001,1.5,100,true,true,Heritage listed — City of Melbourne,Active,Medium,2025-11-30,false,,,VicRoads Asset Register,,,,,,,,
,,,UAT-VIC-B02,Bolte Bridge,Strategic,CityLink,,VIC,Melbourne Metro,Melbourne,-37.8097,144.9397,Docklands crossing CityLink,Transurban,Transurban,Cable-stayed,1999,SM1600,AS 5100,52.0,150.0,Steel,2,300.0,27.2,4,Excellent,9,9,Open,AS 5100-7,Zone 1,DWG-BB-001,0.1,200,false,false,Signature cable-stayed bridge,Active,Low,2026-02-14,true,2024-09-01,80.0,4,1,95000,15.2,,,,true,true,true,VicRoads Asset Register,,,,,,,,
,,,UAT-QLD-B01,Story Bridge,Strategic,Main Road,,QLD,Brisbane Metro,Brisbane,-27.4620,153.0353,Brisbane River at Fortitude Valley,TMR,TMR,Cantilever through-truss,1940,T44,AS 5100,27.4,282.0,Steel,1,282.0,17.8,4,Good,7,7,Open,AS 5100-7,Zone 1,DWG-SB-001,3.0,200,false,true,Heritage listed — QLD Heritage Register,Active,Medium,2025-09-18,true,2023-11-01,42.5,HML,1,35000,10.8,,,,true,true,true,TMR Asset Register,,,,,,,,
,,,UAT-QLD-B02,Burdekin River Bridge,Primary,Bruce Highway,A1,QLD,North Queensland,Burdekin,-19.6890,147.2190,Burdekin River crossing on Bruce Hwy,TMR,TMR,Steel truss,1957,T44,AS 5100,8.2,80.0,Steel,7,560.0,9.2,2,Fair,4,4,Restricted,AS 5100-7,Zone 2,DWG-BRB-001,4.5,50,true,true,Flood-prone — seasonal closures apply,Active,Extreme,2025-05-01,true,2023-06-15,38.0,,3,8500,22.0,,,,false,false,false,TMR Asset Register,,,,,,,,
,,,UAT-WA-B01,Narrows Bridge,Strategic,Kwinana Freeway,H001,WA,Perth Metro,South Perth,-31.9774,115.8537,Swan River at South Perth,MRWA,MRWA,Prestressed concrete,1959,T44,AS 5100,6.0,48.0,Concrete,9,432.0,19.0,4,Satisfactory,6,6,Open,AS 5100-7,Zone 2,DWG-NB-001,0.5,200,false,true,Key Perth river crossing,Active,Low,2025-12-05,true,2024-02-20,45.0,HML,1,58000,13.5,,,,true,true,true,MRWA Asset Register,,,,,,,,
,,,UAT-SA-B01,Port River Expressway Bridge,Strategic,Port River Expressway,,SA,Adelaide Metro,Port Adelaide,-34.8271,138.5043,Port River crossing at Birkenhead,DPTI,DPTI,Cable-stayed,2005,SM1600,AS 5100,48.0,200.0,Steel,2,400.0,22.0,4,Good,8,8,Open,AS 5100-7,Zone 1,DWG-PRE-001,0.1,200,false,false,Port access route,Active,Low,2026-03-10,true,2024-04-18,50.0,4,2,22000,18.0,,,,true,true,true,DPTI Asset Register,,,,,,,,
,,,UAT-TAS-B01,Tasman Bridge,Strategic,East Derwent Highway,,TAS,Hobart Metro,Hobart,-42.8826,147.3399,Derwent River at Rose Bay,DIER,DIER,Prestressed concrete segmental,1975,T44,AS 5100,24.0,120.0,Concrete,5,600.0,18.0,4,Good,7,7,Open,AS 5100-7,Zone 2,DWG-TB-001,0.8,200,false,true,Critical Hobart river crossing,Active,Low,2025-10-22,true,2024-01-12,42.5,HML,1,32000,11.5,,,,true,true,true,DIER Asset Register,,,,,,,,
